gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;gene_name;product;significance
AENJPLPP_01153;21653.4317012918;-4.39704633187243;0.0638890928156099;-68.8231142139197;0;0;;putative ABC transporter ATP-binding protein;Down in serum
AENJPLPP_01154;15987.5939219143;-4.19291701116237;0.067969219536053;-61.6884678062004;0;0;;putative ABC transporter ATP-binding protein;Down in serum
AENJPLPP_01157;24389.4174751925;2.43921796396024;0.0520521265284512;46.8610626815984;0;0;;Muramidase-2;Up in serum
AENJPLPP_01212;162524.728801507;1.9861445640354;0.0494226639462562;40.1869184185457;0;0;;hypothetical protein;Up in serum
AENJPLPP_01357;18671.9103905356;-3.02459868708251;0.0658908185588657;-45.9031888392825;0;0;rpsI;30S ribosomal protein S9;Down in serum
AENJPLPP_01358;29461.2073795934;-4.04487791276677;0.0608289966640567;-66.4958841110863;0;0;rplM;50S ribosomal protein L13;Down in serum
AENJPLPP_01473;34896.763436371;-2.32859590302319;0.0515025132052969;-45.2132480164813;0;0;rpsL;30S ribosomal protein S12;Down in serum
AENJPLPP_01482;15651.1822674771;-2.64384666883027;0.0573057880628338;-46.1357701936039;0;0;rpsS;30S ribosomal protein S19;Down in serum
AENJPLPP_01483;15764.5311486374;-2.46136913231058;0.0631754197563347;-38.9608670872942;0;0;rplV;50S ribosomal protein L22;Down in serum
AENJPLPP_01487;32077.1453119487;-2.5821209979312;0.0620469709466226;-41.6155850726788;0;0;rpsQ;30S ribosomal protein S17;Down in serum
AENJPLPP_01488;17870.6591311305;-2.61280808957317;0.0547096812387716;-47.7576916993903;0;0;rplN;50S ribosomal protein L14;Down in serum
AENJPLPP_01489;37488.5247870819;-2.55794921149598;0.0634243510705575;-40.3307116008226;0;0;rplX;50S ribosomal protein L24;Down in serum
AENJPLPP_01490;20681.8463656137;-2.62160542309432;0.0576868638320921;-45.4454489106041;0;0;rplE;50S ribosomal protein L5;Down in serum
