gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;gene_name;product;significance
AENJPLPP_01963;3263.66676255651;-3.74584745165996;0.0742884377577987;-50.42302092652;0;0;;Deoxyguanosine kinase;Down in serum
AENJPLPP_01981;1449.42893634002;4.21333315069024;0.100472804085926;41.9350608258823;0;0;yvbW;putative amino acid permease YvbW;Up in serum
AENJPLPP_02031;2566.16056783177;5.01583346468253;0.100596827522784;49.8607519560843;0;0;;hypothetical protein;Up in serum
AENJPLPP_02092;2624.9537947485;-3.10978285336203;0.0798565465032698;-38.9421154499174;0;0;dauA;C4-dicarboxylic acid transporter DauA;Down in serum
AENJPLPP_02094;37476.1562826247;-2.44926097635035;0.0600357441641912;-40.7967121995172;0;0;rplU;50S ribosomal protein L21;Down in serum
AENJPLPP_02131;7933.03559736804;-2.22077188800604;0.0555219111255617;-39.998116833259;0;0;ileS;Isoleucine--tRNA ligase;Down in serum
AENJPLPP_02139;1637.36019432194;5.51557999925793;0.133583146666171;41.2894900061125;0;0;ptcB_1;PTS system galactose-specific EIIB component;Up in serum
AENJPLPP_02155;1126.63027770417;4.33400588414393;0.10695289167;40.5225685483696;0;0;;hypothetical protein;Up in serum
AENJPLPP_02290;2251.54894656323;5.57773144729774;0.108445683625217;51.4334112787199;0;0;;hypothetical protein;Up in serum
AENJPLPP_02292;74988.9104641522;7.32372521223499;0.0862392033642535;84.923386656314;0;0;dppE;Dipeptide-binding protein DppE;Up in serum
AENJPLPP_02294;6842.21959151556;7.14938688928579;0.105210090439738;67.9534335480947;0;0;oppB;Oligopeptide transport system permease protein OppB;Up in serum
AENJPLPP_02295;5921.03746576774;6.64902418128622;0.0995096541259386;66.817880533192;0;0;dppC;Dipeptide transport system permease protein DppC;Up in serum
AENJPLPP_02296;11942.9449202849;6.40869268981297;0.0789452122537779;81.1789911870974;0;0;oppD_2;Oligopeptide transport ATP-binding protein OppD;Up in serum
AENJPLPP_02297;10271.1090264111;6.41039325619557;0.0843883158729735;75.963042867746;0;0;oppF_2;Oligopeptide transport ATP-binding protein OppF;Up in serum
AENJPLPP_02298;14262.2568359167;6.41974619717479;0.0803045306126045;79.9425156737939;0;0;;IS200/IS605 family transposase ISEfa4;Up in serum
AENJPLPP_02307;9863.05581252789;5.65918364541661;0.0927506354531289;61.0150390643571;0;0;niaX;Niacin transporter NiaX;Up in serum
AENJPLPP_02310;92911.0598393522;3.8729406784951;0.0668472347329671;57.9371860925323;0;0;folT_2;Folate transporter FolT;Up in serum
AENJPLPP_02354;6299.32051500916;2.46150631905549;0.0629565886264954;39.0984704342694;0;0;;hypothetical protein;Up in serum
AENJPLPP_02363;6847.8270360034;2.65977322253561;0.0630873554123517;42.1601635565605;0;0;pepC;Aminopeptidase C;Up in serum
AENJPLPP_02528;25144.9053401765;2.45215274861405;0.0589676619211933;41.5847036955815;0;0;hpf;Ribosome hibernation promotion factor;Up in serum
AENJPLPP_02581;1555.59259980237;-3.27436580833681;0.0812528776114798;-40.2984596310986;0;0;glyQ;Glycine--tRNA ligase alpha subunit;Down in serum
AENJPLPP_02751;1748.81821778712;4.43924293302196;0.112151649125354;39.5825025101516;0;0;;hypothetical protein;Up in serum
AENJPLPP_02832;2347.45605706153;-5.29470346859364;0.113850527066705;-46.5057440225243;0;0;;hypothetical protein;Down in serum
AENJPLPP_02833;4533.45265809009;-2.90642184060819;0.0638666265998134;-45.50767741061;0;0;scrB_1;Sucrose-6-phosphate hydrolase;Down in serum
